x,y,f
-10,-10,39.52
-10,-9.8,38.74
-10,-9.6,37.9808
-10,-9.4,37.2424
-10,-9.2,36.5248
-10,-9,35.828
-10,-8.8,35.152
-10,-8.6,34.4968
-10,-8.4,33.8624
-10,-8.2,33.2488
-10,-8,32.656
-10,-7.8,32.084
-10,-7.6,31.5328
-10,-7.4,31.0024
-10,-7.2,30.4928
-10,-7,30.004
-10,-6.8,29.536
-10,-6.6,29.0888
-10,-6.4,28.6624
-10,-6.2,28.2568
-10,-6,27.872
-10,-5.8,27.508
-10,-5.6,27.1648
-10,-5.4,26.8424
-10,-5.2,26.5408
-10,-5,26.26
-10,-4.8,26
-10,-4.6,25.7608
-10,-4.4,25.5424
-10,-4.2,25.3448
-10,-4,25.168
-10,-3.8,25.012
-10,-3.6,24.8768
-10,-3.4,24.7624
-10,-3.2,24.6688
-10,-3,24.596
-10,-2.8,24.544
-10,-2.6,24.5128
-10,-2.4,24.5024
-10,-2.2,24.5128
-10,-2,24.544
-10,-1.8,24.596
-10,-1.6,24.6688
-10,-1.4,24.7624
-10,-1.2,24.8768
-10,-1,25.012
-10,-0.8,25.168
-10,-0.6,25.3448
-10,-0.4,25.5424
-10,-0.2,25.7608
-10,0,26
-10,0.2,26.26
-10,0.4,26.5408
-10,0.6,26.8424
-10,0.8,27.1648
-10,1,27.508
-10,1.2,27.872
-10,1.4,28.2568
-10,1.6,28.6624
-10,1.8,29.0888
-10,2,29.536
-10,2.2,30.004
-10,2.4,30.4928
-10,2.6,31.0024
-10,2.8,31.5328
-10,3,32.084
-10,3.2,32.656
-10,3.4,33.2488
-10,3.6,33.8624
-10,3.8,34.4968
-10,4,35.152
-10,4.2,35.828
-10,4.4,36.5248
-10,4.6,37.2424
-10,4.8,37.9808
-10,5,38.74
-10,5.2,39.52
-10,5.4,40.3208
-10,5.6,41.1424
-10,5.8,41.9848
-10,6,42.848
-10,6.2,43.732
-10,6.4,44.6368
-10,6.6,45.5624
-10,6.8,46.5088
-10,7,47.476
-10,7.2,48.464
-10,7.4,49.4728
-10,7.6,50.5024
-10,7.8,51.5528
-10,8,52.624
-10,8.2,53.716
-10,8.4,54.8288
-10,8.6,55.9624
-10,8.8,57.1168
-10,9,58.292
-10,9.2,59.488
-10,9.4,60.7048
-10,9.6,61.9424
-10,9.8,63.2008
-10,10,64.48
-9.8,-10,38.74
-9.8,-9.8,37.955
-9.8,-9.6,37.1908
-9.8,-9.4,36.4474
-9.8,-9.2,35.7248
-9.8,-9,35.023
-9.8,-8.8,34.342
-9.8,-8.6,33.6819
-9.8,-8.4,33.0425
-9.8,-8.2,32.4239
-9.8,-8,31.8261
-9.8,-7.8,31.2491
-9.8,-7.6,30.6929
-9.8,-7.4,30.1575
-9.8,-7.2,29.6429
-9.8,-7,29.1491
-9.8,-6.8,28.6761
-9.8,-6.6,28.2239
-9.8,-6.4,27.7925
-9.8,-6.2,27.382
-9.8,-6,26.9922
-9.8,-5.8,26.6232
-9.8,-5.6,26.275
-9.8,-5.4,25.9476
-9.8,-5.2,25.641
-9.8,-5,25.3552
-9.8,-4.8,25.0902
-9.8,-4.6,24.846
-9.8,-4.4,24.6226
-9.8,-4.2,24.42
-9.8,-4,24.2382
-9.8,-3.8,24.0772
-9.8,-3.6,23.9371
-9.8,-3.4,23.8177
-9.8,-3.2,23.7191
-9.8,-3,23.6413
-9.8,-2.8,23.5843
-9.8,-2.6,23.5481
-9.8,-2.4,23.5327
-9.8,-2.2,23.5381
-9.8,-2,23.5643
-9.8,-1.8,23.6113
-9.8,-1.6,23.6791
-9.8,-1.4,23.7677
-9.8,-1.2,23.8772
-9.8,-1,24.0074
-9.8,-0.8,24.1584
-9.8,-0.6,24.3302
-9.8,-0.4,24.5228
-9.8,-0.2,24.7362
-9.8,0,24.9704
-9.8,0.2,25.2254
-9.8,0.4,25.5012
-9.8,0.6,25.7978
-9.8,0.8,26.1152
-9.8,1,26.4534
-9.8,1.2,26.8124
-9.8,1.4,27.1923
-9.8,1.6,27.5929
-9.8,1.8,28.0143
-9.8,2,28.4565
-9.8,2.2,28.9195
-9.8,2.4,29.4033
-9.8,2.6,29.9079
-9.8,2.8,30.4333
-9.8,3,30.9795
-9.8,3.2,31.5465
-9.8,3.4,32.1343
-9.8,3.6,32.7429
-9.8,3.8,33.3724
-9.8,4,34.0226
-9.8,4.2,34.6936
-9.8,4.4,35.3854
-9.8,4.6,36.098
-9.8,4.8,36.8314
-9.8,5,37.5856
-9.8,5.2,38.3606
-9.8,5.4,39.1564
-9.8,5.6,39.973
-9.8,5.8,40.8104
-9.8,6,41.6686
-9.8,6.2,42.5476
-9.8,6.4,43.4475
-9.8,6.6,44.3681
-9.8,6.8,45.3095
-9.8,7,46.2717
-9.8,7.2,47.2547
-9.8,7.4,48.2585
-9.8,7.6,49.2831
-9.8,7.8,50.3285
-9.8,8,51.3947
-9.8,8.2,52.4817
-9.8,8.4,53.5895
-9.8,8.6,54.7181
-9.8,8.8,55.8676
-9.8,9,57.0378
-9.8,9.2,58.2288
-9.8,9.4,59.4406
-9.8,9.6,60.6732
-9.8,9.8,61.9266
-9.8,10,63.2008
-9.6,-10,37.9808
-9.6,-9.8,37.1908
-9.6,-9.6,36.4216
-9.6,-9.4,35.6732
-9.6,-9.2,34.9457
-9.6,-9,34.2389
-9.6,-8.8,33.5529
-9.6,-8.6,32.8877
-9.6,-8.4,32.2433
-9.6,-8.2,31.6197
-9.6,-8,31.017
-9.6,-7.8,30.435
-9.6,-7.6,29.8738
-9.6,-7.4,29.3334
-9.6,-7.2,28.8138
-9.6,-7,28.315
-9.6,-6.8,27.8371
-9.6,-6.6,27.3799
-9.6,-6.4,26.9435
-9.6,-6.2,26.5279
-9.6,-6,26.1331
-9.6,-5.8,25.7591
-9.6,-5.6,25.406
-9.6,-5.4,25.0736
-9.6,-5.2,24.762
-9.6,-5,24.4712
-9.6,-4.8,24.2012
-9.6,-4.6,23.952
-9.6,-4.4,23.7236
-9.6,-4.2,23.5161
-9.6,-4,23.3293
-9.6,-3.8,23.1633
-9.6,-3.6,23.0181
-9.6,-3.4,22.8937
