#Algoritmo: Algoritmo Tabu Search, Problema: Problema de Matyas
tiempo,best_score,best_position_x,best_position_y
0.021,20.5877,2.88016, -7.75659
0.041,19.272,2.59343, -7.61073
0.056,19.272,2.59343, -7.61073
0.073,19.272,2.59343, -7.61073
0.09,19.272,2.59343, -7.61073
0.106,19.272,2.59343, -7.61073
0.124,19.272,2.59343, -7.61073
0.142,17.7262,1.71942, -7.67383
0.161,17.6718,1.7838, -7.63228
0.181,17.6718,1.7838, -7.63228
0.202,17.6718,1.7838, -7.63228
0.222,17.6718,1.7838, -7.63228
0.244,17.6718,1.7838, -7.63228
0.267,17.6718,1.7838, -7.63228
0.29,17.6718,1.7838, -7.63228
0.323,17.6718,1.7838, -7.63228
0.347,17.6718,1.7838, -7.63228
0.378,17.6718,1.7838, -7.63228
0.404,17.6718,1.7838, -7.63228
0.43,17.6718,1.7838, -7.63228
0.457,17.6718,1.7838, -7.63228
0.484,17.6718,1.7838, -7.63228
0.514,17.6718,1.7838, -7.63228
0.545,17.6718,1.7838, -7.63228
0.575,17.6718,1.7838, -7.63228
0.602,17.6718,1.7838, -7.63228
0.63,17.6718,1.7838, -7.63228
0.675,17.6718,1.7838, -7.63228
0.704,17.6718,1.7838, -7.63228
0.733,17.6718,1.7838, -7.63228
0.76,17.6718,1.7838, -7.63228
0.795,17.6718,1.7838, -7.63228
0.825,17.6718,1.7838, -7.63228
0.856,17.6718,1.7838, -7.63228
0.882,17.6718,1.7838, -7.63228
0.91,17.6718,1.7838, -7.63228
0.939,17.6718,1.7838, -7.63228
0.969,17.6718,1.7838, -7.63228
0.999,17.6718,1.7838, -7.63228
1.026,17.6718,1.7838, -7.63228
1.054,17.6718,1.7838, -7.63228
1.082,17.6718,1.7838, -7.63228
1.109,17.6718,1.7838, -7.63228
1.136,17.6718,1.7838, -7.63228
1.164,17.6718,1.7838, -7.63228
1.193,17.6718,1.7838, -7.63228
1.229,17.6718,1.7838, -7.63228
1.257,17.6718,1.7838, -7.63228
1.287,17.6718,1.7838, -7.63228
1.314,17.6718,1.7838, -7.63228
1.341,17.6718,1.7838, -7.63228
1.37,17.6718,1.7838, -7.63228
1.397,17.6718,1.7838, -7.63228
1.424,17.6718,1.7838, -7.63228
1.452,17.6718,1.7838, -7.63228
1.481,17.6718,1.7838, -7.63228
1.508,17.6718,1.7838, -7.63228
1.533,17.6718,1.7838, -7.63228
1.561,17.6718,1.7838, -7.63228
1.589,17.6718,1.7838, -7.63228
1.618,17.6718,1.7838, -7.63228
1.647,17.6718,1.7838, -7.63228
1.709,17.6718,1.7838, -7.63228
1.745,17.6718,1.7838, -7.63228
1.774,17.6718,1.7838, -7.63228
1.812,17.6718,1.7838, -7.63228
1.838,17.6718,1.7838, -7.63228
1.866,17.6718,1.7838, -7.63228
1.893,17.6718,1.7838, -7.63228
1.921,17.6718,1.7838, -7.63228
1.948,17.6718,1.7838, -7.63228
1.976,17.6718,1.7838, -7.63228
2.006,17.6718,1.7838, -7.63228
2.034,17.6718,1.7838, -7.63228
2.06,17.6718,1.7838, -7.63228
2.088,17.6718,1.7838, -7.63228
2.115,17.6718,1.7838, -7.63228
2.151,17.6718,1.7838, -7.63228
2.181,17.6718,1.7838, -7.63228
2.209,17.6718,1.7838, -7.63228
2.235,17.6718,1.7838, -7.63228
2.263,17.6718,1.7838, -7.63228
2.289,17.6718,1.7838, -7.63228
2.318,17.6718,1.7838, -7.63228
2.345,17.6718,1.7838, -7.63228
2.374,17.6718,1.7838, -7.63228
2.402,17.6718,1.7838, -7.63228
2.43,17.6718,1.7838, -7.63228
2.457,17.6718,1.7838, -7.63228
2.485,17.6718,1.7838, -7.63228
2.513,17.6718,1.7838, -7.63228
2.542,17.6718,1.7838, -7.63228
2.57,17.6718,1.7838, -7.63228
2.606,17.6718,1.7838, -7.63228
2.634,17.6718,1.7838, -7.63228
2.68,17.6718,1.7838, -7.63228
2.708,17.6718,1.7838, -7.63228
2.735,17.6718,1.7838, -7.63228
2.765,17.6718,1.7838, -7.63228
2.793,17.6718,1.7838, -7.63228
2.821,17.6718,1.7838, -7.63228
2.849,17.6718,1.7838, -7.63228
2.886,17.6718,1.7838, -7.63228
2.914,17.6718,1.7838, -7.63228
2.941,17.6718,1.7838, -7.63228
2.967,17.6718,1.7838, -7.63228
2.994,17.6718,1.7838, -7.63228
3.022,17.6718,1.7838, -7.63228
3.049,17.6718,1.7838, -7.63228
3.085,17.6718,1.7838, -7.63228
3.113,17.6718,1.7838, -7.63228
3.141,17.6718,1.7838, -7.63228
3.169,17.6718,1.7838, -7.63228
3.196,17.6718,1.7838, -7.63228
3.225,17.6718,1.7838, -7.63228
3.253,17.6718,1.7838, -7.63228
3.28,17.6718,1.7838, -7.63228
3.309,17.6718,1.7838, -7.63228
3.337,17.6718,1.7838, -7.63228
3.364,17.6718,1.7838, -7.63228
3.392,17.6718,1.7838, -7.63228
3.421,17.6718,1.7838, -7.63228
3.448,17.6718,1.7838, -7.63228
3.476,17.6718,1.7838, -7.63228
3.51,17.6718,1.7838, -7.63228
3.54,17.6718,1.7838, -7.63228
3.567,17.6718,1.7838, -7.63228
3.594,17.6718,1.7838, -7.63228
3.621,17.6718,1.7838, -7.63228
3.657,17.6718,1.7838, -7.63228
3.697,17.6718,1.7838, -7.63228
3.726,17.6718,1.7838, -7.63228
3.754,17.6718,1.7838, -7.63228
3.782,17.6718,1.7838, -7.63228
3.811,17.6718,1.7838, -7.63228
3.84,17.6718,1.7838, -7.63228
3.868,17.6718,1.7838, -7.63228
3.895,17.6718,1.7838, -7.63228
3.925,17.6718,1.7838, -7.63228
3.953,17.6718,1.7838, -7.63228
3.99,17.6718,1.7838, -7.63228
4.018,17.6718,1.7838, -7.63228
4.045,17.6718,1.7838, -7.63228
4.073,17.6718,1.7838, -7.63228
4.101,17.6718,1.7838, -7.63228
4.128,17.6718,1.7838, -7.63228
4.156,17.6718,1.7838, -7.63228
4.184,17.6718,1.7838, -7.63228
4.212,17.6718,1.7838, -7.63228
4.237,17.6718,1.7838, -7.63228
4.267,17.6718,1.7838, -7.63228
4.295,17.6718,1.7838, -7.63228
4.323,17.6718,1.7838, -7.63228
4.352,17.6718,1.7838, -7.63228
4.379,17.6718,1.7838, -7.63228
4.415,17.6718,1.7838, -7.63228
4.444,17.6718,1.7838, -7.63228
4.469,17.6718,1.7838, -7.63228
4.496,17.6718,1.7838, -7.63228
4.525,17.6718,1.7838, -7.63228
4.553,17.6718,1.7838, -7.63228
4.579,17.6718,1.7838, -7.63228
4.608,17.6718,1.7838, -7.63228
4.636,17.6718,1.7838, -7.63228
4.68,17.3934,-0.0896732, -8.20016
4.72,16.8107,0.100784, -8.01615
4.749,16.8107,0.100784, -8.01615
4.776,16.8107,0.100784, -8.01615
4.803,16.4074,-0.325204, -8.01566
4.831,14.1905,-0.674858, -7.52062
4.86,14.1905,-0.674858, -7.52062
4.896,14.1905,-0.674858, -7.52062
4.925,13.2012,-1.26123, -7.32229
4.954,13.2012,-1.26123, -7.32229
4.983,13.2012,-1.26123, -7.32229
5.009,13.2012,-1.26123, -7.32229
5.038,13.2012,-1.26123, -7.32229
5.066,13.2012,-1.26123, -7.32229
